#tick=1449059,netprod=8792136986877.3,nets=3379
kind,name,sample,input,output
pw,long-handed-inserter,32,52020.391111111,0
pw,long-handed-inserter,33,52507.524444444,0
pw,long-handed-inserter,34,52180.6,0
pw,long-handed-inserter,35,52570.88,0
pw,long-handed-inserter,36,52973.542222222,0
pw,long-handed-inserter,37,53002.911111111,0
pw,long-handed-inserter,38,53082.551111111,0
pw,long-handed-inserter,39,53431.84,0
pw,long-handed-inserter,40,53756.782222222,0
pw,long-handed-inserter,41,53118.208888889,0
pw,long-handed-inserter,42,53225.306666667,0
pw,long-handed-inserter,43,52882.577777778,0
pw,long-handed-inserter,44,52461.791111111,0
pw,long-handed-inserter,45,52729.355555556,0
pw,long-handed-inserter,46,52932.791111111,0
pw,long-handed-inserter,47,52837.608888889,0
pw,long-handed-inserter,48,53770.271111111,0
pw,long-handed-inserter,49,55252.031111111,0
pw,long-handed-inserter,50,55516.057777778,0
pw,long-handed-inserter,51,53764.857777778,0
pw,long-handed-inserter,52,51160.64,0
pw,long-handed-inserter,53,50831.493333333,0
pw,long-handed-inserter,54,51654.715555556,0
pw,long-handed-inserter,55,51746.026666667,0
pw,long-handed-inserter,56,51966.208888889,0
pw,long-handed-inserter,57,52656.137777778,0
pw,long-handed-inserter,58,53125.457777778,0
pw,long-handed-inserter,59,54114.546666667,0
pw,long-handed-inserter,60,54514.946666667,0
pw,long-handed-inserter,61,54017.977777778,0
pw,long-handed-inserter,62,53993.244444444,0
pw,long-handed-inserter,63,54390.488888889,0
pw,long-handed-inserter,64,54316.266666667,0
pw,long-handed-inserter,65,55489.564444444,0
pw,long-handed-inserter,66,55467.284444444,0
pw,long-handed-inserter,67,54977.897777778,0
pw,long-handed-inserter,68,56699.871111111,0
pw,long-handed-inserter,69,54104.337777778,0
pw,long-handed-inserter,70,51746.257777778,0
pw,long-handed-inserter,71,50897.626666667,0
pw,long-handed-inserter,72,49141.4,0
pw,long-handed-inserter,73,49187.173333333,0
pw,long-handed-inserter,74,50240.631111111,0
pw,long-handed-inserter,75,50970.826666667,0
pw,long-handed-inserter,76,51943.911111111,0
pw,long-handed-inserter,77,52438.342222222,0
pw,long-handed-inserter,78,52553.373333333,0
pw,long-handed-inserter,79,51800.453333333,0
pw,long-handed-inserter,80,51775.822222222,0
pw,long-handed-inserter,81,51999.928888889,0
pw,long-handed-inserter,82,51682.311111111,0
pw,long-handed-inserter,83,50440.653333333,0
pw,long-handed-inserter,84,50414.546666667,0
pw,long-handed-inserter,85,50124.595555556,0
pw,long-handed-inserter,86,51803.186666667,0
pw,long-handed-inserter,87,52893.933333333,0
pw,long-handed-inserter,88,52024.124444444,0
pw,long-handed-inserter,89,52781.724444444,0
pw,long-handed-inserter,90,53255.075555556,0
pw,long-handed-inserter,91,54071.675555556,0
pw,long-handed-inserter,92,54420.662222222,0
pw,long-handed-inserter,93,54959.088888889,0
pw,long-handed-inserter,94,56146.284444444,0
pw,long-handed-inserter,95,55023.177777778,0
pw,long-handed-inserter,96,54315.92,0
pw,long-handed-inserter,97,54377.053333333,0
pw,long-handed-inserter,98,54193.16,0
pw,long-handed-inserter,99,53687.52,0
pw,long-handed-inserter,100,52886.142222222,0
pw,long-handed-inserter,101,52758.315555556,0
pw,long-handed-inserter,102,53040.315555556,0
pw,long-handed-inserter,103,52830.208888889,0
pw,long-handed-inserter,104,52948.004444444,0
pw,long-handed-inserter,105,53109.608888889,0
pw,long-handed-inserter,106,53354.76,0
pw,long-handed-inserter,107,53512.137777778,0
pw,long-handed-inserter,108,54379.471111111,0
pw,long-handed-inserter,109,54300.253333333,0
pw,long-handed-inserter,110,54991.711111111,0
pw,long-handed-inserter,111,56541.088888889,0
pw,long-handed-inserter,112,56645.866666667,0
pw,long-handed-inserter,113,58129.671111111,0
pw,long-handed-inserter,114,52783.431111111,0
pw,long-handed-inserter,115,49394.684444444,0
pw,long-handed-inserter,116,52593.564444444,0
pw,long-handed-inserter,117,53673.044444444,0
pw,long-handed-inserter,118,53937.48,0
pw,long-handed-inserter,119,52666.72,0
pw,long-handed-inserter,120,53145.817777778,0
pw,long-handed-inserter,121,53943.777777778,0
pw,long-handed-inserter,122,54007.902222222,0
pw,long-handed-inserter,123,52988.404444444,0
pw,long-handed-inserter,124,50931.746666667,0
pw,long-handed-inserter,125,47069.746666667,0
pw,long-handed-inserter,126,46230.328888889,0
pw,long-handed-inserter,127,46007.568888889,0
pw,long-handed-inserter,128,45130.862222222,0
pw,long-handed-inserter,129,45664.613333333,0
pw,long-handed-inserter,130,44061.515555556,0
pw,long-handed-inserter,131,41602.391111111,0
pw,long-handed-inserter,132,42644.888888889,0
pw,long-handed-inserter,133,43421.026666667,0
pw,long-handed-inserter,134,42755.835555556,0
pw,long-handed-inserter,135,43286.6,0
pw,long-handed-inserter,136,43215.875555556,0
pw,long-handed-inserter,137,42830.751111111,0
pw,long-handed-inserter,138,43354.24,0
