#tick=1440948,surfaces=10,speed=1
kind,name,precision,sample,input,output
item,copper-plate,ten_hours,184,771,877
item,copper-plate,ten_hours,185,835,862
item,copper-plate,ten_hours,186,844,798
item,copper-plate,ten_hours,187,898,775
item,copper-plate,ten_hours,188,901,706
item,copper-plate,ten_hours,189,893,663
item,copper-plate,ten_hours,190,284,230
item,copper-plate,ten_hours,191,325,338
item,copper-plate,ten_hours,192,330,365
item,copper-plate,ten_hours,193,330,490
item,copper-plate,ten_hours,194,324,227
item,copper-plate,ten_hours,195,330,240
item,copper-plate,ten_hours,196,275,282
item,copper-plate,ten_hours,197,180,43
item,copper-plate,ten_hours,198,180,20
item,copper-plate,fifty_hours,1,146657,146160
item,copper-plate,fifty_hours,2,152586,143934
item,copper-plate,fifty_hours,3,159621,154573
item,copper-plate,fifty_hours,4,159896,154842
item,copper-plate,fifty_hours,5,159651,154415
item,copper-plate,fifty_hours,6,159343,155580
item,copper-plate,fifty_hours,7,159194,160862
item,copper-plate,fifty_hours,8,159021,162620
item,copper-plate,fifty_hours,9,158959,155220
item,copper-plate,fifty_hours,10,159108,154873
item,copper-plate,fifty_hours,11,159477,155238
item,copper-plate,fifty_hours,12,159402,158955
item,copper-plate,fifty_hours,13,158648,159318
item,copper-plate,fifty_hours,14,149233,153292
item,copper-plate,fifty_hours,15,144840,146155
item,copper-plate,fifty_hours,16,145126,148766
item,copper-plate,fifty_hours,17,145064,143920
item,copper-plate,fifty_hours,18,154990,151086
item,copper-plate,fifty_hours,19,157241,156378
item,copper-plate,fifty_hours,20,155824,155012
item,copper-plate,fifty_hours,21,155108,155028
item,copper-plate,fifty_hours,22,154791,157490
item,copper-plate,fifty_hours,23,150165,153273
item,copper-plate,fifty_hours,24,154520,156029
item,copper-plate,fifty_hours,25,148141,143664
item,copper-plate,fifty_hours,26,113504,115087
item,copper-plate,fifty_hours,27,112776,112702
item,copper-plate,fifty_hours,28,108818,114916
item,copper-plate,fifty_hours,29,69349,50097
item,copper-plate,fifty_hours,30,38496,35658
item,copper-plate,fifty_hours,31,35049,33914
item,copper-plate,fifty_hours,32,27319,20846
item,copper-plate,fifty_hours,33,18078,18787
item,copper-plate,fifty_hours,34,14180,11275
item,copper-plate,fifty_hours,35,8480,7495
item,copper-plate,fifty_hours,36,5827,5686
item,copper-plate,fifty_hours,37,3932,4124
item,copper-plate,fifty_hours,38,3820,3172
item,copper-plate,fifty_hours,39,1639,1660
item,copper-plate,fifty_hours,40,635,345
item,steel-plate,ten_hours,1,2850,2081
item,steel-plate,ten_hours,2,2854,2114
item,steel-plate,ten_hours,3,2855,2196
item,steel-plate,ten_hours,4,2854,1441
item,steel-plate,ten_hours,5,2853,1138
item,steel-plate,ten_hours,6,2788,1142
item,steel-plate,ten_hours,7,2750,1412
item,steel-plate,ten_hours,8,2839,1705
item,steel-plate,ten_hours,9,2865,1534
item,steel-plate,ten_hours,10,2865,1051
item,steel-plate,ten_hours,11,2865,1163
item,steel-plate,ten_hours,12,2865,1510
item,steel-plate,ten_hours,13,2865,2256
item,steel-plate,ten_hours,14,2864,2223
item,steel-plate,ten_hours,15,2866,2129
item,steel-plate,ten_hours,16,2865,2137
item,steel-plate,ten_hours,17,2864,2124
item,steel-plate,ten_hours,18,2874,2070
item,steel-plate,ten_hours,19,2878,2110
item,steel-plate,ten_hours,20,2879,2082
item,steel-plate,ten_hours,21,2877,2134
item,steel-plate,ten_hours,22,2878,2042
item,steel-plate,ten_hours,23,2882,2208
item,steel-plate,ten_hours,24,2902,1790
item,steel-plate,ten_hours,25,2903,1684
item,steel-plate,ten_hours,26,2906,1638
item,steel-plate,ten_hours,27,2904,1668
item,steel-plate,ten_hours,28,2905,1640
item,steel-plate,ten_hours,29,2903,1865
item,steel-plate,ten_hours,30,2889,2152
item,steel-plate,ten_hours,31,2902,2220
item,steel-plate,ten_hours,32,2899,2248
item,steel-plate,ten_hours,33,2908,2181
item,steel-plate,ten_hours,34,2930,2329
item,steel-plate,ten_hours,35,2939,2358
item,steel-plate,ten_hours,36,2944,2315
item,steel-plate,ten_hours,37,2945,2350
item,steel-plate,ten_hours,38,2944,2449
item,steel-plate,ten_hours,39,2939,2631
item,steel-plate,ten_hours,40,2927,2689
item,steel-plate,ten_hours,41,2942,2655
item,steel-plate,ten_hours,42,2941,2376
item,steel-plate,ten_hours,43,2945,2046
item,steel-plate,ten_hours,44,2943,1937
item,steel-plate,ten_hours,45,2949,2001
item,steel-plate,ten_hours,46,2957,2050
item,steel-plate,ten_hours,47,2957,2255
item,steel-plate,ten_hours,48,2955,2553
item,steel-plate,ten_hours,49,2960,2280
item,steel-plate,ten_hours,50,2966,1634
item,steel-plate,ten_hours,51,2965,1085
item,steel-plate,ten_hours,52,2966,1295
item,steel-plate,ten_hours,53,2965,1798
item,steel-plate,ten_hours,54,2967,1885
item,steel-plate,ten_hours,55,2966,1977
item,steel-plate,ten_hours,56,2977,2111
item,steel-plate,ten_hours,57,2979,2505
item,steel-plate,ten_hours,58,2979,2611
item,steel-plate,ten_hours,59,2980,2567
item,steel-plate,ten_hours,60,2979,2437
item,steel-plate,ten_hours,61,2979,2461
item,steel-plate,ten_hours,62,2977,2525
item,steel-plate,ten_hours,63,2980,2504
item,steel-plate,ten_hours,64,2988,2559
item,steel-plate,ten_hours,65,2992,2548
item,steel-plate,ten_hours,66,2997,2607
item,steel-plate,ten_hours,67,3005,2540
item,steel-plate,ten_hours,68,3006,2222
item,steel-plate,ten_hours,69,3005,2388
item,steel-plate,ten_hours,70,3023,2571
item,steel-plate,ten_hours,71,3032,2597
item,steel-plate,ten_hours,72,3031,2525
item,steel-plate,ten_hours,73,3031,2878
item,steel-plate,ten_hours,74,3039,2908
item,steel-plate,ten_hours,75,3053,3230
item,steel-plate,ten_hours,76,3058,3413
item,steel-plate,ten_hours,77,3072,3783
item,steel-plate,ten_hours,78,3085,4289
item,steel-plate,ten_hours,79,3105,2790
item,steel-plate,ten_hours,80,3111,2819
item,steel-plate,ten_hours,81,3119,2814
